additive,Acidic ,Banana ,Berry,Bitter,Burnt ,Butter,Candy ,Caramel ,Chocolate,Citrus ,Coffee,Dark chocolate ,Floral ,Fruity ,Grain ,Honey ,Hoppy ,Licorice ,Molasses ,Other ,Pome fruit,Salty ,Smoke,Spice,Stone fruit ,Strong,Sweet,Tropical fruit,Vinegar,Yoghurt
Vanillin,4,0,1,9,5,0,0,2,1,0,13,2,0,2,1,1,2,1,1,0,0,1,2,1,0,3,3,1,0,0
Acetic acid ,5,0,1,5,1,0,0,0,2,2,8,3,0,2,0,0,0,3,3,2,0,1,1,2,0,4,2,0,1,0
Raspberry ketone,4,1,9,2,0,1,3,0,0,1,0,0,2,9,0,4,1,1,0,1,1,0,0,1,3,0,10,0,0,2
Isoamyl acetate,7,8,0,4,0,2,1,0,0,1,0,0,0,2,2,0,0,0,0,4,2,0,0,1,1,1,4,1,0,0
